PermissionAPI,PermissionName,AdminConsent,ConsentRisk,ConsentDisplayName,ConsentDescription,AdminConsentDisplayName,AdminConsentDescription,DelegatedPermissionId,ApplicationConsentDisplayName,ApplicationConsentDescription,ApplicationPermissionId
"Log Analytics API","Data.Read",,,,,,,,,,
"Microsoft Graph","APIConnectors.Read.All",true,,"Read API connectors for authentication flows","Allows the app to read the API connectors used in user authentication flows, on your behalf.","Read API connectors for authentication flows","Allows the app to read the API connectors used in user authentication flows, on behalf of the signed-in user.","1b6ff35f-31df-4332-8571-d31ea5a4893f","Read API connectors for authentication flows","Allows the app to read the API connectors used in user authentication flows, without a signed-in user.","b86848a7-d5b1-41eb-a9b4-54a4e6306e97"
"Microsoft Graph","APIConnectors.ReadWrite.All",true,,"Read and write API connectors for authentication flows","Allows the app to read, create and manage the API connectors used in user authentication flows, on your behalf.","Read and write API connectors for authentication flows","Allows the app to read, create and manage the API connectors used in user authentication flows, on behalf of the signed-in user.","c67b52c5-7c69-48b6-9d48-7b3af3ded914","Read and write API connectors for authentication flows","Allows the app to read, create and manage the API connectors used in user authentication flows, without a signed-in user.","1dfe531a-24a6-4f1b-80f4-7a0dc5a0a171"
"Microsoft Graph","AccessReview.Read.All",true,,"Read access reviews that you can access","Allows the app to read information on access reviews, reviewers, decisions and settings that you have access to.","Read all access reviews that user can access","Allows the app to read access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization.","ebfcd32b-babb-40f4-a14b-42706e83bd28","Read all access reviews","Allows the app to read access reviews, reviewers, decisions and settings in the organization, without a signed-in user.","d07a8cc0-3d51-4b77-b3b0-32704d1f69fa"
"Microsoft Graph","AccessReview.ReadWrite.All",true,,"Manage access reviews that you can access","Allows the app to read, update and perform action on access reviews, reviewers, decisions and settings that you have access to.","Manage all access reviews that user can access","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings that the signed-in user has access to in the organization.","e4aa47b9-9a69-4109-82ed-36ec70d85ff1","Manage all access reviews","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization, without a signed-in user.","ef5f7d5c-338f-44b0-86c3-351f46c8bb5f"
"Microsoft Graph","AccessReview.ReadWrite.Membership",true,,"Manage access reviews for group and app memberships","Allows the app to read, update and perform action on access reviews, reviewers, decisions and settings that you have access to.","Manage access reviews for group and app memberships","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings for group and app memberships that the signed-in user has access to in the organization.","5af8c3f5-baca-439a-97b0-ea58a435e269","Manage access reviews for group and app memberships","Allows the app to read, update, delete and perform actions on access reviews, reviewers, decisions and settings in the organization for group and app memberships, without a signed-in user.","18228521-a591-40f1-b215-5fad4488c117"
"Microsoft Graph","AdministrativeUnit.Read.All",true,,"Read administrative units","Allows the app to read administrative units and administrative unit membership on your behalf.","Read administrative units","Allows the app to read administrative units and administrative unit membership on behalf of the signed-in user.","3361d15d-be43-4de6-b441-3c746d05163d","Read all administrative units","Allows the app to read administrative units and administrative unit membership without a signed-in user.","134fd756-38ce-4afd-ba33-e9623dbe66c2"
"Microsoft Graph","AdministrativeUnit.ReadWrite.All",true,,"Read and write administrative units","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership on your behalf.","Read and write administrative units","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership on behalf of the signed-in user.","7b8a2d34-6b3f-4542-a343-54651608ad81","Read and write all administrative units","Allows the app to create, read, update, and delete administrative units and manage administrative unit membership without a signed-in user.","5eb59dd3-1da2-4329-8733-9dabdc435916"
"Microsoft Graph","Agreement.Read.All",true,,"Read all terms of use agreements","Allows the app to read terms of use agreements on your behalf.","Read all terms of use agreements","Allows the app to read terms of use agreements on behalf of the signed-in user.","af2819c9-df71-4dd3-ade7-4d7c9dc653b7","Read all terms of use agreements","Allows the app to read terms of use agreements, without a signed in user.","2f3e6f8c-093b-4c57-a58b-ba5ce494a169"
"Microsoft Graph","Agreement.ReadWrite.All",true,,"Read and write all terms of use agreements","Allows the app to read and write terms of use agreements on your behalf.","Read and write all terms of use agreements","Allows the app to read and write terms of use agreements on behalf of the signed-in user.","ef4b5d93-3104-4664-9053-a5c49ab44218","Read and write all terms of use agreements","Allows the app to read and write terms of use agreements, without a signed in user.","c9090d00-6101-42f0-a729-c41074260d47"
